Frequency (Hz)	Level (dB)
13824.316406	-44.277889
13867.382812	-45.420422
13910.449219	-46.225281
13953.515625	-46.348789
13996.582031	-46.112144
14039.648438	-46.057846
14082.714844	-45.762966
14125.781250	-46.127567
14168.847656	-46.403404
14211.914062	-46.490398
14254.980469	-46.158577
14298.046875	-45.800167
14341.113281	-45.167942
14384.179688	-45.863441
14427.246094	-45.263870
14470.312500	-45.905224
14513.378906	-46.533417
14556.445312	-46.733700
14599.511719	-45.770737
14642.578125	-45.096203
14685.644531	-44.203857
14728.710938	-43.706383
14771.777344	-43.798573
14814.843750	-44.286793
14857.910156	-45.038265
14900.976562	-45.139744
14944.042969	-45.627659
14987.109375	-45.571175
15030.175781	-45.039085
15073.242188	-45.082443
15116.308594	-44.947521
15159.375000	-45.226986
15202.441406	-45.789307
15245.507812	-46.616150
15288.574219	-47.129421
15331.640625	-47.189785
15374.707031	-47.195213
15417.773438	-46.786537
15460.839844	-47.184994
15503.906250	-46.459026
15546.972656	-46.335724
15590.039062	-46.885387
15633.105469	-47.273018
15676.171875	-47.010223
15719.238281	-47.297634
15762.304688	-47.434231
15805.371094	-47.873745
15848.437500	-48.046650
15891.503906	-48.002689
15934.570312	-47.408516
15977.636719	-47.037144
16020.703125	-47.818977
16063.769531	-48.795464
16106.835938	-48.285988
16149.902344	-47.514042
16192.968750	-47.491550
16236.035156	-48.211414
16279.101562	-48.734509
16322.167969	-48.711224
16365.234375	-48.316528
16408.300781	-47.969948
16451.367188	-48.956825
16494.433594	-48.545391
16537.500000	-48.665020
16580.566406	-48.473438
16623.632812	-48.970970
16666.699219	-48.996494
16709.765625	-49.493565
16752.832031	-49.033035
16795.898438	-48.866615
16838.964844	-49.285526
16882.031250	-49.318199
16925.097656	-49.751740
16968.164062	-50.167660
17011.230469	-49.310509
17054.296875	-47.572449
17097.363281	-46.507763
17140.429688	-45.717384
17183.496094	-46.945160
17226.562500	-48.448799
17269.628906	-48.810307
17312.695312	-49.446857
17355.761719	-49.472256
17398.828125	-50.607357
17441.894531	-49.767441
17484.960938	-49.900238
17528.027344	-49.535080
17571.093750	-49.546314
17614.160156	-48.690151
17657.226562	-48.792454
17700.292969	-50.124084
17743.359375	-50.585865
17786.425781	-50.792934
17829.492188	-50.406269
17872.558594	-51.113125
17915.625000	-50.412628
17958.691406	-50.674511
18001.757812	-50.895565
18044.824219	-52.206917
18087.890625	-51.782616
18130.957031	-50.646255
18174.023438	-50.235718
18217.089844	-50.381062
18260.156250	-51.122646
18303.222656	-52.698025
18346.289062	-53.158428
18389.355469	-53.019840
18432.421875	-52.304901
18475.488281	-51.747097
18518.554688	-52.072136
18561.621094	-52.907261
18604.687500	-53.159504
18647.753906	-52.899559
18690.820312	-52.948524
18733.886719	-53.115116
18776.953125	-53.762672
18820.019531	-54.072418
18863.085938	-53.865704
18906.152344	-53.927193
18949.218750	-54.865856
18992.285156	-54.892792
19035.351562	-54.749260
19078.417969	-54.270111
19121.484375	-54.451679
19164.550781	-55.579140
19207.617188	-56.213089
19250.683594	-55.742001
19293.750000	-55.309315
19336.816406	-56.043762
19379.882812	-56.191761
19422.949219	-56.826660
19466.015625	-57.097038
19509.082031	-56.650143
19552.148438	-55.679390
19595.214844	-56.030506
19638.281250	-56.424358
19681.347656	-57.265999
19724.414062	-57.220615
19767.480469	-56.333328
19810.546875	-57.717194
19853.613281	-58.211266
19896.679688	-56.718697
19939.746094	-55.891174
19982.812500	-56.724339
20025.878906	-57.684704
20068.945312	-58.457962
20112.011719	-59.258003
20155.078125	-59.886990
20198.144531	-59.534737
20241.210938	-60.021763
20284.277344	-60.673145
20327.343750	-60.447025
20370.410156	-59.969830
20413.476562	-58.663647
20456.542969	-57.950954
20499.609375	-57.665871
20542.675781	-58.724216
20585.742188	-60.685360
20628.808594	-60.724998
20671.875000	-60.103561
20714.941406	-59.007710
20758.007812	-59.481266
20801.074219	-59.233967
20844.140625	-59.082352
20887.207031	-59.242912
20930.273438	-60.303425
20973.339844	-59.951004
21016.406250	-60.198391
21059.472656	-59.727692
21102.539062	-61.460007
21145.605469	-60.699276
21188.671875	-60.871506
21231.738281	-59.250240
21274.804688	-60.335003
21317.871094	-61.058838
21360.937500	-62.780613
21404.003906	-61.093285
21447.070312	-62.364975
21490.136719	-62.470215
21533.203125	-60.394028
21576.269531	-60.188332
21619.335938	-59.067886
21662.402344	-58.357338
21705.468750	-58.543491
21748.535156	-59.248734
21791.601562	-59.185150
21834.667969	-59.886765
21877.734375	-61.887814
21920.800781	-61.259705
21963.867188	-61.771904
22006.933594	-61.792149
