Frequency (Hz)	Level (dB)
17441.894531	-51.514828
17484.960938	-51.896633
17528.027344	-52.097519
17571.093750	-52.570995
17614.160156	-53.130524
17657.226562	-52.829678
17700.292969	-52.607834
17743.359375	-52.386646
17786.425781	-52.367619
17829.492188	-52.795788
17872.558594	-53.567165
17915.625000	-53.537231
17958.691406	-53.740749
18001.757812	-54.104515
18044.824219	-53.944401
18087.890625	-54.318165
18130.957031	-53.932133
18174.023438	-53.523575
18217.089844	-53.981773
18260.156250	-54.469681
18303.222656	-55.206600
18346.289062	-55.504570
18389.355469	-54.845711
18432.421875	-54.768143
18475.488281	-54.811714
18518.554688	-55.036098
18561.621094	-55.527378
18604.687500	-55.675961
18647.753906	-56.342175
18690.820312	-56.409233
18733.886719	-56.152779
18776.953125	-56.499561
18820.019531	-56.052982
18863.085938	-56.502712
18906.152344	-57.009750
18949.218750	-56.439926
18992.285156	-57.218319
19035.351562	-57.509636
19078.417969	-57.345848
19121.484375	-57.744080
19164.550781	-57.209034
19207.617188	-57.142391
19250.683594	-58.052803
19293.750000	-58.739098
19336.816406	-59.320965
19379.882812	-58.743786
19422.949219	-58.203587
19466.015625	-58.686798
19509.082031	-59.443066
19552.148438	-60.072067
19595.214844	-59.470352
19638.281250	-59.030907
19681.347656	-59.850693
19724.414062	-60.351742
19767.480469	-61.044369
19810.546875	-60.962864
19853.613281	-59.745419
19896.679688	-60.248699
19939.746094	-61.072582
19982.812500	-61.890099
20025.878906	-62.535957
20068.945312	-61.430046
20112.011719	-61.562046
20155.078125	-62.207336
20198.144531	-62.789379
20241.210938	-63.228626
20284.277344	-62.531643
20327.343750	-62.238224
20370.410156	-62.810955
20413.476562	-63.457485
20456.542969	-63.181377
20499.609375	-63.166782
20542.675781	-63.636829
20585.742188	-63.934361
20628.808594	-63.716984
20671.875000	-62.775536
20714.941406	-61.974861
20758.007812	-62.968044
20801.074219	-64.833145
20844.140625	-65.037231
20887.207031	-64.027885
20930.273438	-62.976532
20973.339844	-62.608932
21016.406250	-62.442173
21059.472656	-62.991840
21102.539062	-63.278423
21145.605469	-64.650543
21188.671875	-66.193932
21231.738281	-64.518929
21274.804688	-63.350418
21317.871094	-62.593517
21360.937500	-62.143093
21404.003906	-62.407959
21447.070312	-63.575558
21490.136719	-64.922928
21533.203125	-66.847778
21576.269531	-65.694099
21619.335938	-63.233665
21662.402344	-61.338005
21705.468750	-61.182007
21748.535156	-62.429310
21791.601562	-63.462879
21834.667969	-66.287758
21877.734375	-66.893280
21920.800781	-65.010696
21963.867188	-63.792400
22006.933594	-62.117302
