Frequency (Hz)	Level (dB)
18475.488281	-51.087772
18518.554688	-51.204403
18561.621094	-51.984119
18604.687500	-51.363010
18647.753906	-52.562794
18690.820312	-53.672226
18733.886719	-53.324635
18776.953125	-52.534679
18820.019531	-53.387638
18863.085938	-54.228180
18906.152344	-54.107567
18949.218750	-53.309624
18992.285156	-54.176857
19035.351562	-53.922901
19078.417969	-54.239174
19121.484375	-54.913277
19164.550781	-52.262630
19207.617188	-54.043449
19250.683594	-55.801804
19293.750000	-54.915245
19336.816406	-55.371227
19379.882812	-54.514484
19422.949219	-54.642738
19466.015625	-54.792427
19509.082031	-54.790184
19552.148438	-56.427212
19595.214844	-55.009136
19638.281250	-57.218216
19681.347656	-56.922970
19724.414062	-55.851734
19767.480469	-56.911015
19810.546875	-58.048393
19853.613281	-58.720978
19896.679688	-57.075439
19939.746094	-56.376888
19982.812500	-55.908440
20025.878906	-57.254139
20068.945312	-55.197613
20112.011719	-57.886951
20155.078125	-60.079571
20198.144531	-60.192375
20241.210938	-60.072609
20284.277344	-59.658550
20327.343750	-58.530704
20370.410156	-58.942055
20413.476562	-56.939079
20456.542969	-56.993683
20499.609375	-59.472389
20542.675781	-60.950317
20585.742188	-60.860359
20628.808594	-60.965206
20671.875000	-61.841778
20714.941406	-60.426254
20758.007812	-58.856045
20801.074219	-60.410355
20844.140625	-60.373123
20887.207031	-61.056309
20930.273438	-60.572598
20973.339844	-62.107510
21016.406250	-59.041042
21059.472656	-61.132233
21102.539062	-61.678394
21145.605469	-58.125767
21188.671875	-59.474087
21231.738281	-59.768398
21274.804688	-63.171326
21317.871094	-61.556129
21360.937500	-62.101463
21404.003906	-62.864796
21447.070312	-61.338730
21490.136719	-61.254044
21533.203125	-59.072250
21576.269531	-57.026024
21619.335938	-60.040901
21662.402344	-57.706886
21705.468750	-62.240417
21748.535156	-59.547676
21791.601562	-62.030540
21834.667969	-64.492073
21877.734375	-60.977169
21920.800781	-60.164139
21963.867188	-60.051567
22006.933594	-61.623051
